,to,from,source
698,Странное готовилось ему пробуждение.,Ёв на думискирдя со лэскэ явэла адасаво розджянгаибэ.,dubrovsky
699,"Он чувствовал сквозь сон, что кто-то тихонько дергал его за ворот рубашки.","Ёв шундя дро соибэ, со кон-то тихэс тырдыя лэс палэ гадэскиро воротнико.",dubrovsky
700,"Антон Пафнутьич открыл глаза и при бледном свете осеннего утра увидел перед собой Дефоржа: француз в одной руке держал карманный пистолет, а другою отстегивал заветную суму.","Антоно Пафнутьичё откэрдя якха — и дро парно осенякиро злоко удыкхья ангил пэстэ Дефоржос: французо дрэ екх васт рикирдя кисыкитко карэдын, а ваврэса отпхандя гоно ловэнца.",dubrovsky
701,Антон Пафнутьич обмер.,Антоно Пафнутьичё обмэя.,dubrovsky
702,"– Кесь ке се, мусье, кесь ке се?[7] – произнес он трепещущим голосом.","—	Кесь ке се, мусье, кесь ке се38, — проракирдя ёв выдарадэ глосаса.",dubrovsky
703,"– Тише, молчать, – отвечал учитель чистым русским языком, – молчать, или вы пропали.","—	Яв штыл, — пхэндя сыкляибнари жужэ руссконэ чибаса, — яв штыл или тумэ хасинэ.",dubrovsky
704,Я – Дубровский.,Мэ Дубровско.,dubrovsky
705,"Глава XI Теперь попросим у читателя позволения объяснить последние происшествия повести нашей предыдущими обстоятельствами, кои не успели мы еще рассказать.","Глава XI Акана помангаса гиныбнарис тэ дэл амэнгэ тэ роспхэнас амарэ повестякиро происшэствиё, саво сыс ангил адава и саво амэ на могискирдям инкэ тэ роспхэнас.",dubrovsky
706,"На станции ** в доме смотрителя, о коем мы уже упомянули, сидел в углу проезжий с видом смиренным и терпеливым, обличающим разночинца или иностранца, то есть человека, не имеющего голоса на почтовом тракте.","Прэ станцыя ** дрэ смотрителёскиро кхэр, ваш саво амэ ужэ рипирдям, сыс бэшто дро вэнгло мануш, саво пир capo здыя прэ разночинцостэ39, или ваврэ стронытконэ манушэстэ, ваврэс тэ пхэнэс, прэ адасавэ манушэстэ, саво на могискирла тэ подэл глос40 прэ почтово дром.",dubrovsky
707,"Бричка его стояла на дворе, ожидая подмазки.","Лэскиро урдэн тэрдо сыс про дворо, дужакири подмахибэ.",dubrovsky
708,"В ней лежал маленький чемодан, тощее доказательство не весьма достаточного состояния.","Дрэ лэстэ пашлы сыс набари тыкнорори, пир сави могискирдо сыс тэ пригалёс дрэ лэстэ чёрорэ манушэс.",dubrovsky
709,"Проезжий не спрашивал себе ни чаю, ни кофею, поглядывал в окно и посвистывал к великому неудовольствию смотрительши, сидевшей за перегородкою.","Мануш на пучья пэскэ ни драб, ни кофиё, дыкхья дрэ фэнштра и дыя шоля, со дрэван на камья смотрительша, сави бэшты сыс палэ пхалытко ванта.",dubrovsky
710,"– Вот бог послал свистуна, – говорила она вполголоса, – эк посвистывает, чтоб он лопнул, окаянный басурман.","—	Акэ дэвэл бичядя шолярис, — ракирдя ёй дрэ пашглос, — дыкхэс сыр шолякирла — соб тэ розрискир лэс, бэнганэ басурманос.",dubrovsky
711,"– А что? – сказал смотритель, – что за беда, пускай себе свищет.","— А со? — пхэндя смотрителё, сави бида, мэк пэскэ шолякирла.",dubrovsky
712,– Что за беда? – возразила сердитая супруга. – А разве не знаешь приметы?,"— Со за бида? — закостяпэ холями ромяы, — а ту на джинэс приметы?",dubrovsky
713,– Какой приметы? что свист деньгу выживает.,— Сави примета? Со шолякирибэ ловэ выдживэла.,dubrovsky
714,И!,И!,dubrovsky
715,"Пахомовна, у нас что свисти, что нет: а денег все нет как нет.","Пахомовна, амэндэ со шолякир, со на: а ловэ уса нанэ тэ нанэ.",dubrovsky
716,"– Да отпусти ты его, Сидорыч.","— Тэ отмэк ту лэс, Сидорычё.",dubrovsky
717,Охота тебе его держать.,Камэлпэ тукэ тэ рикирэс лэс.,dubrovsky
718,"Дай ему лошадей, да провались он к черту.","Дэ лэскэ грэн, мэк пропэрла ёв ко бэнга.",dubrovsky
719,"– Подождет, Пахомовна; на конюшне всего три тройки, четвертая отдыхает.","— Подужакирла, Пахомовна; дрэ штала capo прэ capo трин тройки, штарто откхинёла.",dubrovsky
720,Того и гляди подоспеют хорошие проезжие; не хочу своею шеей отвечать за француза.,"Одова и дыкх, подъявэна лаче прогыибнытка; на камам пэскирэ мэняса тэ отплэскиравпэ палэ французостэ.",dubrovsky
721,"Чу, так и есть! вон скачут.","Шун, адякэ и исы! дыкхэс традэна.",dubrovsky
722,"Э-ге-ге, да как шибко; уж не генерал ли?","Тэ сыр сыго, ґалёв генерало?",dubrovsky
723,Коляска остановилась у крыльца.,Урдэн тэрдыя пашыл крыльцо.,dubrovsky
724,"Слуга соскочил с козел, отпер дверцы, и через минуту молодой человек в военной шинели и в белой фуражке вошел к смотрителю; вслед за ним слуга внес шкатулку и поставил ее на окошко.",Дынари сухтя прэдкостыр и пирдал мэнта тэрно мануш дрэ халадытко шынель и дро парно нарто вгыя ко смотрителё — шпэраса пал лэстэ дынари влыджия тыкнорори и тходя ла прэ фэнштра.,dubrovsky
725,"– Лошадей, – сказал офицер повелительным голосом. – Сейчас, – отвечал смотритель.","—	Грэн, — пхэндя офицэро припхэныбнытконэ глосаса. .— Екхатыр, — откхардяпэ смотрителё.",dubrovsky
726,– Пожалуйте подорожную.,— Дэнте дромитко41.,dubrovsky
727,– Нет у меня подорожной. Я еду в сторону…,—	Нанэ мандэ дромитко — мэ традава дрэ строна...,dubrovsky
728,Разве ты меня не узнаешь?,Разве ту ман на уґалёса?,dubrovsky
729,Смотритель засуетился и кинулся торопить ямщиков.,Смотрителё вздыкхья и екхатыр прастандыя тэ бичявэл шолярен.,dubrovsky
730,"Молодой человек стал расхаживать взад и вперед по комнате, зашел за перегородку и спросил тихо у смотрительши: кто такой проезжий.","Тэрно мануш лыя тэ псирэл англэ и палэ пирэ штуба, загыя кэ смотрительша и пучья латыр: кон адасаво за мануш явья.",dubrovsky
731,"– Бог его ведает, – отвечала смотрительша, – какой-то француз.","—	Дэвэл лэс джинэл, — пхэндя смотрительша, — саво-то французо.",dubrovsky
732,Вот уже пять часов как дожидается лошадей да свищет.,Окэ ужэ пандж мардэ сыр дужакирла грэн тэ шоля дэла.,dubrovsky
733,"Надоел, проклятый.","Дохая, бэнг.",dubrovsky
734,Молодой человек заговорил с проезжим по-французски.,Тэрно мануш заракирдя адалэ манушэса пиро французско.,dubrovsky
735,– Куда изволите вы ехать? – спросил он его.,—	Карик тумэ традэна — пучья ёв лэс.,dubrovsky
736,"– В ближний город, – отвечал француз, – оттуда отправляюсь к одному помещику, который нанял меня за глаза в учители.","— Дро надуратуно форо, — пхэндя французо, — одотхыр джява кэ екх помешшико, кэ саво подлыёмпэ пало якха дро сыкляибнарья.",dubrovsky
737,"Я думал сегодня быть уже на месте, но господин смотритель, кажется, судил иначе. В этой земле трудно достать лошадей, господин офицер.","Мэ думискирдём ададывэс тэ явав ужэ про штэто, нэ рай смотрителё, галёв, сэндындя ваврэс — дрэ адая пхув пхаро тэ дорэсэс грэн, рай офицэро.",dubrovsky
738,– А к кому из здешних помещиков определились вы? – спросил офицер.,"— А кэ кон адалэ штэтытконэ помешшикэндыр тумэ подлынэпэ, — пучья офицэро.",dubrovsky
739,"– К господину Троекурову, – отвечал француз.","—	Ко рай Троекурово, — пхэндя французо.",dubrovsky
740,– К Троекурову? кто такой этот Троекуров?,— Ко Троекурово? Кон адасаво адава Троекурово?,dubrovsky
741,"– Ma foi, mon officier[8]… я слыхал о нем мало доброго.","— Бах-мангэ, сударь мэ шундем ваш лэскэ набут кучипэ.",dubrovsky
742,"Сказывают, что он барин гордый и своенравный, жестокий в обращении со своими домашними, что никто не может с ним ужиться, что все трепещут при его имени, что с учителями (avec les outchitels) он не церемонится и уже двух засек до смерти.","Ракирна, со ёв рай пхуткирдо и холямо дро отлыджяибэ кэ пэскирэ кхэритка — со никон на могискирла лэса тэ удживэлпэ, со сарэ трэнскирэнапэ, коли рипирна лэскиро лав, со сыкляибнарьенца ёв бут на ракирла и ужэ дуен зачингирдя жыко мулыпэ.",dubrovsky
743,– Помилуйте! и вы решились определиться к такому чудовищу.,— Так сыр жэ тумэ джяна кэ адасаво чюдовишшё.,dubrovsky
744,"– Что же делать, господин офицер.","— Сож тэ кэрав, рай офицэро.",dubrovsky
745,"Он предлагает мне хорошее жалование, три тысячи рублей в год и все готовое.","Ёв дэла мангэ куч ловэ, 3 000 састэ дро бэрш, и capo готово.",dubrovsky
746,"Быть может, я буду счастливее других.","Могискирла, мэ явава бахталыдыр ваврэндыр.",dubrovsky
747,"У меня старушка мать, половину жалования буду отсылать ей на пропитание, из остальных денег в пять лет могу скопить маленький капитал, достаточный для будущей моей независимости, и тогда bonsoir,[9] еду в Париж и пускаюсь в коммерческие обороты.","Мандэ пхури дай, лава паш ловэ тэ отбичявав лакэ про хабэ, а ачяибнытконэ ловэндыр дро пандж бэрша могискирава тэ змарав набаро капитало, саво ухтылла ваш назависимыпэ дрэ миро джиибэ — и тоды аченпэ кучипнаса, традава дро Парижо, и мэкавапэ дро тимисяритка оборотэ.",dubrovsky
748,– Знает ли вас кто-нибудь в доме Троекурова? – спросил он.,"— Джинэл ли тумэн кон наяви дрэ Троекуровонэскиро кхэр, — пучья ёв.",dubrovsky
749,"– Никто, – отвечал учитель. – Меня он выписал из Москвы чрез одного из своих приятелей, коего повар, мой соотечественник, меня рекомендовал.","— Никон, — пхэндя сыкляибнари, — ман ёв вычиндя Москватыр пирдал екхэ пэскирэ джиндлэстэ, савэскиро поваро, адякэ жэ французо, мангэ дыя рекомендацыя.",dubrovsky
750,"Надобно вам знать, что я готовился не в учителя, а в кондиторы, но мне сказали, что в вашей земле звание учительское не в пример выгоднее…","Трэбинэ тумэнгэ тэ джинэн, со мэ камьём тэ явав на сыкляибнариса, а тэ тэрдёвав кондитероса — нэ мангэ пхэндлэ, со дрэ тумари пхув тэ явэс сыкляибнариса фэдыр.",dubrovsky
751,Офицер задумался.,Офицэро задуминдяпэ.,dubrovsky
752,"– Послушайте, – прервал он француза, – что, если бы вместо этой будущности предложили вам десять тысяч чистыми деньгами с тем, чтоб сей же час отправились обратно в Париж.","— Шунэнте, — обрэскирдя ёв французос, — со колиб про штэто capo адава тэ дэн бы тумэнгэ 10 000 жужэ ловэнца, нэ соб тумэ екхатыр тэ традэн палэ дро Парижо.",dubrovsky
753,"Француз посмотрел на офицера с изумлением, улыбнулся и покачал головою.","Французо подыкхья прэ офицэростэ удивисалыи, засандяпэ и покачиндя шэрэса.",dubrovsky
754,"– Лошади готовы, – сказал вошедший смотритель.","—	Грая подынэ, — пхэндя вгыи смотрителё.",dubrovsky
755,Слуга подтвердил то же самое.,Дынари тожэ пхэндя со грая подынэ.,dubrovsky
756,"– Сейчас, – отвечал офицер, – выдьте вон на минуту.","—	Подужакирэнте, — пхэндя офицэро, — выджянте яври прэ мэнта.",dubrovsky
757,– Смотритель и слуга вышли.,— Смотрителё и дынари выгынэ.,dubrovsky
758,"– Я не шучу, – продолжал он по-французски, – десять тысяч могу я вам дать, мне нужно только ваше отсутствие и ваши бумаги.","— Мэ на савапэ, — ракирдя ёв прэ французско чиб, — 10 000 мэ могискирава тумэнгэ тэ дав, мангэ трэби только тумарэ лыла и соб тумэ тэ уджян.",dubrovsky
759,– При сих словах он отпер шкатулку и вынул несколько кип ассигнаций.,Ракири адякэ ёв откэрдя тыкнорори и вылыя бут пачки ловэ.,dubrovsky
760,Француз вытаращил глаза.,Французо вылучкирдя якха.,dubrovsky
761,"Он не знал, что и думать.","Ёв на джиндя, со и тэ думин.",dubrovsky
762,"– Мое отсутствие… мои бумаги, – повторял он с изумлением. – Вот мои бумаги… Но вы шутите: зачем вам мои бумаги?","— Миро угыибэ... мирэ лыла, — ракирдя ёв удивисалыи, — окэ мирэ лыла — нэ тумэ санапэ: ваш со тумэнгэ мирэ лыла?",dubrovsky
763,– Вам дела нет до того.,— Тумэнгэ рэндо нанэ жыко адава.,dubrovsky
764,"Спрашиваю, согласны вы или нет?","Пучьява, тумэ согласна или на?",dubrovsky
765,"Француз, всё еще не веря своим ушам, протянул бумаги свои молодому офицеру, который быстро их пересмотрел.","Французо, уса инкэ на патяндыя пэскирэ канэнгэ, протырдыя пэскирэ лыла тэрнэ офицэроскэ, саво сыто лэн пиридыкхья.",dubrovsky
766,"– Ваш пашпорт… хорошо. Письмо рекомендательное, посмотрим. Свидетельство о рождении, прекрасно.","—	Тумаро лыл — шукар — рекомендательно лыл, подыкхаса — свидетельство ваш бияныбэ, шукар.",dubrovsky
767,"Ну вот же вам ваши деньги, отправляйтесь назад.","Нэ акэ тумэнгэ тумарэ ловэ, традэнте палэ.",dubrovsky
768,Прощайте.,Явэнте джидэ.,dubrovsky
769,Француз стоял как вкопанный.,Французо тэрдо сыс сыр вгэнадо.,dubrovsky
770,Офицер воротился.,Офицэро рисия.,dubrovsky
771,"– Я было забыл самое важное. Дайте мне честное слово, что все это останется между нами, честное ваше слово.","— Мэ бистырдём само баро: дэнте мангэ лав, со capo адава ачелапэ машкир амэндэ — тумаро куч лав.",dubrovsky
772,"– Честное мое слово, – отвечал француз.","— Миро куч лав, — пхэндя французо.",dubrovsky
773,"– Но мои бумаги, что мне делать без них?","Нэ мирэ лыла, со мангэ тэ кэрав би лэнгиро.",dubrovsky
774,"– В первом городе объявите, что вы были ограблены Дубровским.","— Дро пэрво форо пхэнэнте, со тумэ санас обкэдынэ Дубровсконэса.",dubrovsky
775,Вам поверят и дадут нужные свидетельства.,"Тумэнгэ патяна, и дэна трэбима лыла.",dubrovsky
776,"Прощайте, дай бог вам скорее доехать до Парижа и найти матушку в добром здоровье.","Явэнте джидэ, дэ дэвла тумэнгэ сыгыдыр тэ доджян жыко Парижо, и тэ латхэн да дро куч састыпэ.",dubrovsky
777,"Дубровский вышел из комнаты, сел в коляску и поскакал.","Дубровско выгыя штубатыр, бэстя дро урдэн и традыя.",dubrovsky
778,"Смотритель смотрел в окошко, и когда коляска уехала, обратился к жене с восклицанием: «Пахомовна, знаешь ли ты что? ведь это был Дубровский».","Смотрителё дыкхья дрэ фэнштра, и коли урдэн утрадыя, пхэндя ромнякэ: —	Пахомовнэ, джинэс ли ту со? ада ведь сыс Дубровско.",dubrovsky
779,"Смотрительша опрометью кинулась к окошку, но было уже поздно: Дубровский был уж далеко.","Смотрительша сарэ ґэрэндыр чюрдыяпэ кэ фэнштра, нэ тэ удыкхэс ужэ ничи нашты сыс — Дубровско сыс ужэ дур.",dubrovsky
780,"Она принялась бранить мужа: – Бога ты не боишься, Сидорыч, зачем ты не сказал мне того прежде, я бы хоть взглянула на Дубровского, а теперь жди, чтоб он опять завернул.","Ёй прилыяпэ тэ кошэл ромэс: — Дэвлэстыр ту на дарэса, Сидорычё, соскэ ту на пхэндян мангэ гарыдыр, мэ бы хоть вздыкхавас прэ Дубровсконэстэ, а акана дужакир, соб ёв отэнчя тэ заджял.",dubrovsky
781,"Бессовестный ты, право, бессовестный!","Биладжяибнаскиро ту, чячё биладжяибнаскиро!",dubrovsky
782,Француз стоял как вкопанный.,Французо тэрдо сыс прэ екх штэто.,dubrovsky
783,"Договор с офицером, деньги, всё казалось ему сновидением.","Доракирибэ офицэроса, ловэ, capo здыяпэ соибнаса.",dubrovsky
784,Но кипы ассигнаций были тут у него в кармане и красноречиво твердили ему о существенности удивительного происшествия.,Нэ о ловэ сыс адай лэстэ дрэ кисык и шукир допхэндлэ лэскэ со capo адава сыс чячипэ.,dubrovsky
785,Он решился нанять лошадей до города.,Ёв лыя грэн жыко форо.,dubrovsky
786,"Ямщик повез его шагом, и ночью дотащился он до города.","Шоляри лыджия лэс, и ратяса дотырдыяпэ ёв ко форо.",dubrovsky
787,"Не доезжая до заставы, у которой вместо часового стояла развалившаяся будка, француз велел остановиться, вылез из брички и пошел пешком, объяснив знаками ямщику, что бричку и чемодан дарит ему на водку.","На догыи кэ застава42, пашыл сави сыс тэрды роспэны будка — французо припхэндя тэ тэрдякир грэн, выгыя урдэстыр, и гыя прэзал — сыкави шолярискэ вастэнца, со урдэн и тыкнорори отдэла лэскэ прэ бравинта.",dubrovsky
788,"Ямщик был в таком же изумлении от его щедрости, как и сам француз от предложения Дубровского.","Шоляри адякэ жэ удивисалыя французостыр, со отдыя capo адава лэскэ, сыр и французо Дубровсконэстыр.",dubrovsky
789,"Но, заключив из того, что немец сошел с ума, ямщик поблагодарил его усердным поклоном и, не рассудив за благо въехать в город, отправился в известное ему увеселительное заведение, коего хозяин был весьма ему знаком.","Нэ решиндя со немцо 43 згыя годятыр и кэрдя лэскэ шэрэса и на загыи дро форо традыя дрэ пибнаскиро, хулай савэскиро сыс лэскэ [джиндло (?)].",dubrovsky
790,"Там провел он целую ночь, а на другой день утром на порожней тройке отправился восвояси без брички и без чемодана, с пухлым лицом и красными глазами.","Адякэ пролыджия ёв сари рат, а прэ вавир дывэс злокоса прэ чюче тройкатэ традыя кхэрэ — би урдэскиро и тыкнорьякиро шулэ моса и лолэ якхэнца.",dubrovsky
791,"Дубровский, овладев бумагами француза, смело явился, как мы уже видели, к Троекурову и поселился в его доме.","Дубровско лыи французоскирэ лыла, надари явья, сыр ужэ амэ дыкхьям, ко Троекурово и лыя тэ дживэл дрэ лэскиро кхэр.",dubrovsky
792,"Каковы ни были его тайные намерения (мы их узнаем после), но в его поведении не оказалось ничего предосудительного.","Со ёв камья тэ кэрэл (амэ уґалёваса отэнчя), нэ ёв лыджия пэс шукар.",dubrovsky
793,"Правда, он мало занимался воспитанием маленького Саши, давал ему полную свободу повесничать и не строго взыскивал за уроки, задаваемые только для формы, зато с большим прилежанием следовал за музыкальными успехами своей ученицы и часто по целым часам сиживал с нею за фортепьяно.","Чячё ёв набут залэласпэ тыкнэ Сашоса, дэлас лэскэ пхэрды свобода и на взродэлас лэстыр пало сыкляибэ, уроки задэлас только ваш якхэнгиро отлыджяибэ — палодова дрэван шукар залэласпэ пэскирэ сыкляибнытконаса и пхэрдэ мардэнца пробэшэлас ласа пало фортепиано.",dubrovsky
794,"Все любили молодого учителя – Кирила Петрович за его смелое проворство на охоте, Марья Кириловна за неограниченное усердие и робкую внимательность, Саша – за снисходительность к его шалостям, домашние – за доброту и за щедрость, повидимому несовместную с его состоянием.","Сарэ камнэ тэрнэ сыкляибнарис — Кирило Петровичё пало муршыпэ прэ охота, Марья Кириловна пало лачё сыкляибэ и дрэван куч отлыджяибэ кэ ёй, Сашо — палодова со балындя лэс, кхэритка пало куч ило.",dubrovsky
795,"Сам он, казалось, привязан был ко всему семейству и почитал уже себя членом оного.","Кокоро ёв, сыр здэласпэ, припхандло сыс кэ сари ири и гиндя пэс лакирэ членоса.",dubrovsky
796,"Прошло около месяца от его вступления в звание учительское до достопамятного празднества, и никто не подозревал, что в скромном молодом французе таился грозный разбойник, коего имя наводило ужас на всех окрестных владельцев.","Прогыя пашыл чён сыр ёв ачья сыкляибнариса жыко рипирдо свэнко, и никон на могискирдя тэ догалякирпэ, со куч тэрно французо сы холямо розбойнико — савэскиро лав кэрдя дрэван баро дарипэ прэ сарэ адалэ штэтытконэ рандэ.",dubrovsky
797,"Во все это время Дубровский не отлучался из Покровского, но слух о разбоях его не утихал благодаря изобретательному воображению сельских жителей, но могло статься и то, что шайка его продолжала свои действия и в отсутствие начальника.","Пал capo адава времё Дубровско на выгыя никарик Покровсконэстыр, нэ шуныбэ ваш лэскирэ розбои на пирьячнэ. Capo адава шуныбэ гыя фрэнтонэ гавитконэ джиибнарьендыр, нэ могискирдя тэ явэл и одова, со лэскири шайка кэрдя пэскирэ рэнды и би начяльникоскиро.",dubrovsky
798,"Ночуя в одной комнате с человеком, коего мог он почесть личным своим врагом и одним из главных виновников его бедствия, Дубровский не мог удержаться от искушения.","Раткири дрэ екх штуба манушэса, саво сыс лэскирэ ворогоса и пирдал савэстэ ёв ачья бикхэрэскиро — Дубровско на могискирдя тэ урикирпэ тэ на отлэл о ловэ.",dubrovsky
799,Он знал о существовании сумки и решился ею завладеть.,ЁВ джиндя ваш гоно ловэнца и закамья тэ явэл лэнгэ хуласа.,dubrovsky
800,"Мы видели, как изумил он бедного Антона Пафнутьича неожиданным своим превращением из учителей в разбойники.",Амэ дыкхьям сыр здракирдя ёв чёрорэ Антонос Пафнутьичёс пэскирэ пирикэрибнаса э сыкляибнаристыр дрэ розбойникостэ.,dubrovsky
801,"В девять часов утра гости, ночевавшие в Покровском, собралися один за другим в гостиной, где кипел уже самовар, перед которым в утреннем платье сидела Марья Кириловна, а Кирила Петрович в байковом сюртуке и в туфлях выпивал свою широкую чашку, похожую на полоскательную.","Дро 9 мардэ злокоса гости, савэ раткирдэ дро Покровско, скэдынэпэ, екх палэ екхэстэ дрэ гостинно, кай подыно сыс драп пал саво бэшты сыс Марья Кириловна — а Кирило Петровичё дро байково сюртуко пия пэскирэ буглэ мусэратыр, сави здыя про чяро карик стховэна нажужо паны.",dubrovsky
802,"Последним явился Антон Пафнутьич; он был так бледен и казался так расстроен, что вид его всех поразил и что Кирила Петрович осведомился о его здоровии.","Последнёнэса явья Антоно Пафнутьичё; ёв дрэван попарныя и лэскэ сыс на пир пэстэ. Сарэ удивисалынэ, а Кирило Петровичё пучья ваш лэскиро састыпэ.",dubrovsky
803,"Спицын отвечал без всякого смысла и с ужасом поглядывал на учителя, который тут же сидел как ни в чем не бывало. Через несколько минут слуга вошел и объявил Спицыну, что коляска его готова;","Спицыно ракирдя лава биспхандыпнаскиро и барэ дарипнаса вздыкхэлас прэ сыкляибнаристэ, саво адай жэ бэшто сыс, сыр ни дрэ со на сыс. Пирдал накицы мэнты вгыя дынари и пхэндя Спицыноскэ, со урдэн подыно — ",dubrovsky
804,"Антон Пафнутьич спешил откланяться и, несмотря на увещания хозяина, вышел поспешно из комнаты и тотчас уехал.",Антоно Пафнутьичё кэрдя хуласкэ шэрэса и надыкхи про уракирибэна сыгэс выгыя кхэрэстыр и екхатыр утрадыя.,dubrovsky
805,"Не понимали, что с ним сделалось, и Кирила Петрович решил, что он объелся.","На джиндлэ, со лэса скэрдяпэ, и Кирило Петровичё подумискирдя со ёв обхаяпэ.",dubrovsky
806,"После чаю и прощального завтрака прочие гости начали разъезжаться, вскоре Покровское опустело, и все вошло в обыкновенный порядок.","После драп и прошшяльно хабэ ваврэ гости лынэ тэ розджянпэ, сыго Покровско ачья чючё, и capo вгыя дро порядко.",dubrovsky
807,"Глава XII Прошло несколько дней, и не случилось ничего достопримечательного.","Глава XII Прогынэ набут дывэса, и на скэрдяпэ ничи адасаво.",dubrovsky
808,Жизнь обитателей Покровского была однообразна.,Джиибэ дро Покровско гыя адякэ жэ сыр и гарыдыр.,dubrovsky
809,"Кирила Петрович ежедневно выезжал на охоту; чтение, прогулки и музыкальные уроки занимали Марью Кириловну, особенно музыкальные уроки.","Кирило Петровичё кажно дывэс сыс прэ охота; гиныбэ, прогулки и кхэлыбнытка уроки залэнас Марья Кириловна — бутыр жэ сарэстыр кхэлыбнытка уроки.",dubrovsky
810,"Она начинала понимать собственное сердце и признавалась, с невольной досадою, что оно не было равнодушно к достоинствам молодого француза.","Ёй лыя тэ полэл пэскиро ило и пригалыяпэ, со ёв тырдыяпэ ко тэрно французо, хоть и на камья кокори адава.",dubrovsky
811,Он с своей стороны не выходил из пределов почтения и строгой пристойности и тем успокоивал ее гордость и боязливые сомнения.,Ёв пэскирэ стронатыр отлыджияпэ кэ ёй дрэван шукар и адалэса улэлас лакиро пхуткирибэ и дарипэна.,dubrovsky
812,Она с большей и большей доверчивостью предавалась увлекательной привычке.,Ёй уса бутыронэ патяибнаса придыяпэ увлекательнонэ присыкляибнаскэ.,dubrovsky
813,"Она скучала без Дефоржа, в его присутствии поминутно занималась им, обо всем хотела знать его мнение и всегда с ним соглашалась.","Ёй тангискирдя би Дефоржоскиро, и билэскиро кажно мэнта думинэс ваш лэскэ, ваш capo камья тэ джинэл лэскиро сэндякирибэ и коли наяви дрэ capo лэса зджяласпэ.",dubrovsky
814,"Может быть, она не была еще влюблена, но при первом случайном препятствии или незапном гонении судьбы пламя страсти должно было вспыхнуть в ее сердце.","Могискирла со ёй инкэ на вкамьяпэ, нэ дро пэрво саво наяви случяё страстенгири яг банги сыс тэ захачёл дрэ лакиро ило.",dubrovsky
815,"Однажды, пришед в залу, где ожидал ее учитель, Марья Кириловна с изумлением заметила смущение на бледном его лице.","Екхвар загыи дро зало, кай дужакирдя ла сыкляибнари, Марья Кириловна удивисалыя, удыкхи прэ лэскиро парно муй ладж.",dubrovsky
816,"Она открыла фортепьяно, пропела несколько нот, но Дубровский под предлогом головной боли извинился, прервал урок и, закрывая ноты, подал ей украдкою записку.","Ёй откэрдя фортепиано, пробагандя набут гиля, нэ Дубровско збичядяпэ прэ шэрэскири дукх, обрэскирдя уроко и, закэри ноты, подыя лакэ чёрьялэс лылоро.",dubrovsky
817,"Марья Кириловна, не успев одуматься, приняла ее и раскаялась в ту же минуту, но Дубровского не было уже в зале.","Марья Кириловна, на пригыи дрэ годы прилыя лылоро и роскаиндяпэ дрэ одоя жэ мэнта, нэ Дубровсконэс на сыс ужэ дро зало.",dubrovsky
818,"Марья Кириловна пошла в свою комнату, развернула записку и прочла следующее: «Будьте сегодня в 7 часов в беседке у ручья. Мне необходимо с вами говорить».","Марья Кириловна гыя кэ пэ, роскэрдя лылоро и прогиндя: «Явэнте ададывэс дро эфта мардэ дрэ унта пашыл ручьё — мангэ трэбинэ тумэнца тэ ракирав».",dubrovsky
819,Любопытство ее было сильно возбуждено.,"Лакэ дрэван камьяпэ тэ уґалёл, со ёв лэла лакэ тэ ракир.",dubrovsky
820,"Она давно ожидала признания, желая и опасаясь его.","Ёй ґapa дужакирдя пригалыибэ, ками и дари лэстыр.",dubrovsky
821,"Ей приятно было бы услышать подтверждение того, о чем она догадывалась, но она чувствовала, что ей было бы неприлично слышать таковое объяснение от человека, который по состоянию своему не мог надеяться когда-нибудь получить ее руку.","Лакэ шукар бы явэлас тэ ушунэл одова, со ёй ужэ джиндя, нэ лакэ явэлас нагожо тэ шунэл пригалыибэ э манушэстыр, саво пир пэскиро чёрорипэ на могискирдя тэ рикир надея коли наяви тэ получискир лакиро васт.",dubrovsky
822,"Она решилась идти на свидание, но колебалась в одном: каким образом примет она признание учителя, с аристократическим ли негодованием, с увещаниями ли дружбы, с веселыми шутками, или с безмолвным участием.","Ёй решындя тэ джял и тэ вышунэл лэс, нэ мардя шэро дро екх: сыр ёй прилэла сыкляибнарискиро пригалыибэ, аристократическонэ ли холяса, дружбакирэ ли уракирибнаса и сабнаса или ничи наракири.",dubrovsky
823,Между тем она поминутно поглядывала на часы.,Машкир адава ёй кажно мэнта дыкхья про мардэ.,dubrovsky
824,"Смерклось, подали свечи, Кирила Петрович сел играть в бостон с приезжими соседями.","Ачья бельвель, подынэ момоля. Кирило Петровичё бэстя тэ кхэл дро патря э явнэ кэ ёв соседэнца; ",dubrovsky
825,"Столовые часы пробили третью четверть седьмого, и Марья Кириловна тихонько вышла на крыльцо, огляделась во все стороны и побежала в сад.",Мардэ сыкадэ трин штарта эфтытконэскиро — и Марья Кириловна тихэс выгыя яври — обдыкхьяпэ дрэ сарэ строны и прастандыя дрэ унта.,dubrovsky
826,"Ночь была темна, небо покрыто тучами, в двух шагах от себя нельзя было ничего видеть, но Марья Кириловна шла в темноте по знакомым дорожкам и через минуту очутилась у беседки; тут остановилась она, дабы перевести дух и явиться перед Дефоржем с видом равнодушным и неторопливым.","Рат сыс калы, болыбэ учякирдо тученца — дро дуй шаги пэстыр нашты сыс ничи тэ удыкхэс, нэ Марья Кириловна гыя дро калыпэ пиро джиндлэ дроморэ и пирдал мэнта сыс про упхэндло штэто; адай ёй тэрдыя соб тэ пирилыджял фано и тэ сыкадёл Дефорожскэ равнодушнонаса.",dubrovsky
